full_name,final_score,occupation,city,state,state_id,archive_info,date,dt_indx,winner_flg
Deirdre Thomas,1,an attorney and editor,Seattle,Washington,WA,J! Archive - Show #7787,6/19/18,1,0
Deirdre Thomas,16801,an attorney and editor,Seattle,Washington,WA,J! Archive - Show #7786,6/18/18,1,1
Deirdre Thomas,16399,an attorney and editor,Seattle,Washington,WA,J! Archive - Show #7785,6/15/18,2,1
Indi Ekanayake,500,an 8th grade science teacher,Seattle,Washington,WA,J! Archive - Show #7759,5/10/18,2,0
Krishna Veeraraghavan,-4200,a sales analyst,Seattle,Washington,WA,J! Archive - Show #7748,4/25/18,3,0
Michael Shockley,0,a pro sports executive,Seattle,Washington,WA,J! Archive - Show #7668,1/3/18,3,0
Donna Brown,11400,a customer service representative,Seattle,Washington,WA,J! Archive - Show #7661,12/25/17,1,0
Donna Brown,45600,a customer service representative,Seattle,Washington,WA,J! Archive - Show #7660,12/22/17,2,1
Ben-Hur Flores,12400,a customer service representative,Tampa,Florida,FL,J! Archive - Show #6882,7/15/14,1,0
Ben-Hur Flores,20000,a customer service representative,Tampa,Florida,FL,J! Archive - Show #6881,7/14/14,3,1
Terry McElhennon,22200,a customer service representative,New Bern,North Carolina,NC,J! Archive - Show #7207,1/5/16,1,0
Terry McElhennon,14801,a customer service representative,New Bern,North Carolina,NC,J! Archive - Show #7206,1/4/16,2,1
Terry McElhennon,14801,a customer service representative,New Bern,North Carolina,NC,J! Archive - Show #7206,1/4/16,2,1
Jason Washington,200,a customer service representative,Quincy,Illinois,IL,J! Archive - Show #6913,10/8/14,3,0
Jason Washington,200,a customer service representative,Quincy,Illinois,IL,J! Archive - Show #6913,10/8/14,3,0
Lily Gebrenegus,5000,an accounting manager,Seattle,Washington,WA,J! Archive - Show #7644,11/30/17,2,0
Neil Uspal,7999,a pediatric emergency medicine physician,Seattle,Washington,WA,J! Archive - Show #7451,1/23/17,1,0
Neil Uspal,19400,a pediatric emergency medicine physician,Seattle,Washington,WA,J! Archive - Show #7449,1/19/17,3,1
Neil Uspal,19400,a pediatric emergency medicine physician,Seattle,Washington,WA,J! Archive - Show #7449,1/19/17,3,1
Sally Neumann,1800,a mental health counselor,Seattle,Washington,WA,J! Archive - Show #7327,6/21/16,1,0
Sally Neumann,10900,a mental health counselor,Seattle,Washington,WA,J! Archive - Show #7326,6/20/16,3,1
Sam Heft-Luthy,599,a college student,Seattle,Washington,WA,J! Archive - Show #6925,10/24/14,3,0
Angie Rasmussen,200,a virologist,Seattle,Washington,WA,J! Archive - Show #6864,6/19/14,3,0
Ryan Vesledahl,20399,a catastrophe modeler,Minneapolis,Minnesota,MN,J! Archive - Show #7840,10/12/18,2,0
Rebecca Smith,0,a certified massage therapist,Minneapolis,Minnesota,MN,J! Archive - Show #7806,7/16/18,3,0
Sarah Norris,6799,a technical writer and manager,Minneapolis,Minnesota,MN,J! Archive - Show #7709,3/1/18,3,1
Peter Buchholz,23100,a 6th grade U.S. history and language arts teacher,Minneapolis,Minnesota,MN,J! Archive - Show #7296,5/9/16,1,0
Peter Buchholz,17000,a 6th grade U.S. history and language arts teacher,Minneapolis,Minnesota,MN,J! Archive - Show #7294,5/5/16,1,1
Katrina Mundinger,10400,a musician,Minneapolis,Minnesota,MN,J! Archive - Show #7255,3/11/16,1,0
Katrina Mundinger,14600,a musician,Minneapolis,Minnesota,MN,J! Archive - Show #7254,3/10/16,1,1
Katrina Mundinger,7400,a musician,Minneapolis,Minnesota,MN,J! Archive - Show #7253,3/9/16,2,1
Rob Wivchar,1200,a musician,Denver,Colorado,CO,J! Archive - Show #7712,3/6/18,3,0
Emily Poole,1,a musician,Hendersonville,North Carolina,NC,J! Archive - Show #7200,12/25/15,2,1
Joel Stjernholm,14799,a student and emergency room scribe,Minneapolis,Minnesota,MN,J! Archive - Show #6948,11/26/14,3,0
Joe Morse,0,a Coast Guard helicopter mechanic originally,Minneapolis,Minnesota,MN,J! Archive - Show #6801,3/24/14,1,0
Joe Morse,24400,a Coast Guard helicopter mechanic originally,Minneapolis,Minnesota,MN,J! Archive - Show #6800,3/21/14,3,1
JJ Harris,12801,a community volunteer,Petaluma,California,CA,J! Archive - Show #8037,7/16/19,3,0
Laurie Corrin,3599,a community volunteer,Kirkland,Washington,WA,J! Archive - Show #7312,5/31/16,3,1
Greg Frost,5000,a communications director,San Diego,California,CA,J! Archive - Show #7895,12/28/18,2,0
